aX,aY,aZ,gX,gY,gZ
-0.009,-0.252,2.054,-74.585,-22.339,-56.641
0.221,-0.245,1.893,-91.248,-45.593,-50.659
0.270,-0.154,1.649,-109.680,-81.604,-35.583
0.099,-0.130,1.386,-118.530,-115.723,-17.883
-0.007,-0.163,1.256,-112.488,-125.000,-19.287
0.036,-0.143,1.159,-111.267,-117.065,-33.630
0.085,-0.098,0.985,-118.286,-113.525,-39.063
0.098,-0.059,0.805,-122.009,-117.004,-36.926
0.107,-0.050,0.665,-116.821,-120.361,-35.583
0.117,-0.039,0.521,-110.657,-120.239,-38.696
0.146,-0.012,0.374,-106.018,-115.601,-44.861
0.190,0.022,0.231,-101.990,-106.934,-50.232
0.235,0.070,0.093,-98.145,-96.191,-52.185
0.267,0.126,-0.016,-93.323,-83.435,-51.147
0.270,0.175,-0.123,-87.646,-68.298,-47.668
0.274,0.207,-0.223,-81.055,-51.575,-42.358
0.280,0.233,-0.310,-73.303,-35.522,-36.072
0.253,0.235,-0.403,-65.125,-21.301,-29.114
0.218,0.223,-0.497,-55.542,-6.714,-21.667
0.184,0.188,-0.589,-44.189,9.766,-14.771
0.176,0.168,-0.665,-31.677,30.945,-10.010
0.196,0.144,-0.719,-16.479,55.237,-7.019
0.259,0.125,-0.721,2.869,79.773,-4.150
0.363,0.130,-0.642,28.503,99.792,0.610
0.464,0.140,-0.483,59.570,110.535,10.010
0.511,0.126,-0.280,90.881,108.215,25.085
0.491,0.079,-0.009,119.263,94.727,45.898
0.409,0.057,0.297,140.869,79.529,69.092
0.292,0.032,0.612,155.212,70.679,87.708
0.179,-0.010,0.933,163.330,70.190,98.877
0.066,-0.046,1.248,168.579,70.251,104.858
-0.073,-0.086,1.656,175.110,66.162,110.291
-0.271,-0.118,2.132,179.260,58.105,116.150
-0.510,-0.147,2.587,172.852,48.645,118.347
-0.750,-0.131,2.966,154.114,38.818,109.863
-0.961,-0.146,3.219,126.038,29.175,92.834
-1.078,-0.160,3.315,87.830,21.667,67.566
-1.056,-0.163,3.239,44.434,17.822,34.607
-0.911,-0.173,3.035,4.944,15.259,1.404
-0.750,-0.184,2.785,-24.048,10.742,-25.269
